29438.00, 0.00
30209.00, 0.01
0.00, 0.02
356.00, 0.03
57888.00, 0.04
21196.00, 0.05
50474.00, 0.06
70619.00, 0.07
30073.00, 0.08
63.00, 0.09
29038.00, 0.10
0.00, 0.11
0.00, 0.12
19895.00, 0.13
28762.00, 0.14
10749.00, 0.15
1723.00, 0.16
28235.00, 0.17
0.00, 0.18
0.00, 0.19
22442.00, 0.20
28945.00, 0.21
0.00, 0.22
17124.00, 0.23
12674.00, 0.24
0.00, 0.25
11942.00, 0.26
11942.00, 0.27
28465.00, 0.28
0.00, 0.29
29688.00, 0.30
0.00, 0.31
0.00, 0.32
23210.00, 0.33
28498.00, 0.34
419.00, 0.35
209.00, 0.36
30419.00, 0.37
0.00, 0.38
0.00, 0.39
23706.00, 0.40
25690.00, 0.41
0.00, 0.42
18823.00, 0.43
5642.00, 0.44
0.00, 0.45
15437.00, 0.46
15228.00, 0.47
28999.00, 0.48
0.00, 0.49
17431.00, 0.50
7929.00, 0.51
0.00, 0.52
29582.00, 0.53
28934.00, 0.54
0.00, 0.55
209.00, 0.56
25459.00, 0.57
0.00, 0.58
0.00, 0.59
29786.00, 0.60
29068.00, 0.61
0.00, 0.62
15558.00, 0.63
10714.00, 0.64
0.00, 0.65
14968.00, 0.66
11016.00, 0.67
33281.00, 0.68
0.00, 0.69
26990.00, 0.70
0.00, 0.71
0.00, 0.72
18376.00, 0.73
25174.00, 0.74
15553.00, 0.75
209.00, 0.76
26819.00, 0.77
0.00, 0.78
0.00, 0.79
9796.00, 0.80
102757.00, 0.81
92244.00, 0.82
44034.00, 0.83
8066.00, 0.84
0.00, 0.85
13835.00, 0.86
18674.00, 0.87
31886.00, 0.88
0.00, 0.89
26142.00, 0.90
0.00, 0.91
0.00, 0.92
30686.00, 0.93
15140.00, 0.94
34339.00, 0.95
209.00, 0.96
24109.00, 0.97
0.00, 0.98
0.00, 0.99
22882.00, 1.00
30330.00, 1.01
0.00, 1.02
356.00, 1.03
4898.00, 1.04
22710.00, 1.05
89939.00, 1.06
58867.00, 1.07
51761.00, 1.08
0.00, 1.09
12800.00, 1.10
12382.00, 1.11
0.00, 1.12
23852.00, 1.13
27961.00, 1.14
1758.00, 1.15
0.00, 1.16
25730.00, 1.17
0.00, 1.18
0.00, 1.19
23870.00, 1.20
26144.00, 1.21
0.00, 1.22
11016.00, 1.23
14310.00, 1.24
0.00, 1.25
11500.00, 1.26
11500.00, 1.27
25951.00, 1.28
0.00, 1.29
25180.00, 1.30
0.00, 1.31
0.00, 1.32
23200.00, 1.33
10296.00, 1.34
15524.00, 1.35
0.00, 1.36
24592.00, 1.37
0.00, 1.38
0.00, 1.39
31796.00, 1.40
26352.00, 1.41
0.00, 1.42
9739.00, 1.43
14322.00, 1.44
94.00, 1.45
6265.00, 1.46
23403.00, 1.47
25739.00, 1.48
0.00, 1.49
23312.00, 1.50
0.00, 1.51
0.00, 1.52
29074.00, 1.53
15558.00, 1.54
10191.00, 1.55
0.00, 1.56
23126.00, 1.57
0.00, 1.58
0.00, 1.59
29476.00, 1.60
28951.00, 1.61
0.00, 1.62
11789.00, 1.63
11371.00, 1.64
0.00, 1.65
7779.00, 1.66
21553.00, 1.67
28961.00, 1.68
0.00, 1.69
20010.00, 1.70
4452.00, 1.71
0.00, 1.72
26973.00, 1.73
24710.00, 1.74
6790.00, 1.75
0.00, 1.76
25002.00, 1.77
0.00, 1.78
0.00, 1.79
6768.00, 1.80
45022.00, 1.81
110522.00, 1.82
74240.00, 1.83
18793.00, 1.84
0.00, 1.85
4751.00, 1.86
27763.00, 1.87
32540.00, 1.88
0.00, 1.89
23822.00, 1.90
0.00, 1.91
0.00, 1.92
27733.00, 1.93
15412.00, 1.94
37106.00, 1.95
0.00, 1.96
23166.00, 1.97
0.00, 1.98
0.00, 1.99
30518.00, 2.00
30558.00, 2.01
0.00, 2.02
356.00, 2.03
48804.00, 2.04
31794.00, 2.05
65550.00, 2.06
42599.00, 2.07
37164.00, 2.08
0.00, 2.09
17617.00, 2.10
5087.00, 2.11
0.00, 2.12
24394.00, 2.13
9502.00, 2.14
19651.00, 2.15
0.00, 2.16
23232.00, 2.17
0.00, 2.18
0.00, 2.19
24508.00, 2.20
26285.00, 2.21
3461.00, 2.22
11322.00, 2.23
11374.00, 2.24
0.00, 2.25
1723.00, 2.26
22996.00, 2.27
29773.00, 2.28
338.00, 2.29
16055.00, 2.30
6553.00, 2.31
369.00, 2.32
22882.00, 2.33
10770.00, 2.34
19867.00, 2.35
0.00, 2.36
22816.00, 2.37
0.00, 2.38
0.00, 2.39
24349.00, 2.40
29267.00, 2.41
329.00, 2.42
209.00, 2.43
22588.00, 2.44
0.00, 2.45
578.00, 2.46
23675.00, 2.47
25909.00, 2.48
